taxa,family
Acropoma hanedai,Acropomatidae
Acropoma japonicum,Acropomatidae
Synagrops japonicus,Acropomatidae
Synagrops philippinensis,Acropomatidae
Alepocephalus bicolor,Alepocephalidae 
Ambassis gymnocephalus,Ambassidae
Ambassis miops,Ambassidae
Amia calva,Amiiformes
Channa argus,Anabantiformes
Channa asiatica,Anabantiformes
Channa gachua,Anabantiformes
Channa lucius,Anabantiformes
Channa marulius,Anabantiformes
Channa micropeltes,Anabantiformes
Channa punctata,Anabantiformes
Channa stewartii,Anabantiformes
Channa striata,Anabantiformes
Anguilla rostrata,Anguillidae
Aphredoderus sayanus,Aphredoderidae
Erisphex simplex,Aploactinidae
Argentina kagoshimae,Argentinidae
Glossanodon semifasciatus,Argentinidae
Hoplomyzon sexpapilostoma,Aspredinidae
Ateleopus japonicus,Ateleopodidae
Labidesthes sicculus,Atherinopsidae
Scartella cristata,Bleniidae
Scartella emarginata,Bleniidae
Scartichthys viridis,Bleniidae
Alticus anjouanae,Blenniidae
Alticus arnoldorum,Blenniidae
Andamia reyi,Blenniidae
Andamia tetradactylus,Blenniidae
Atrosalarias holomelas,Blenniidae
Blenniella chrysospilos,Blenniidae
Blenniella gibbifrons,Blenniidae
Chasmodes saburrae,Blenniidae
Cirripectes obscurus,Blenniidae
Cirripectes variolosus,Blenniidae
Crossosalarias macrospilus,Blenniidae
Ecsenius aroni,Blenniidae
Ecsenius bicolor,Blenniidae
Ecsenius bimaculatus,Blenniidae
Ecsenius namiyei,Blenniidae
Ecsenius opsifrontalis,Blenniidae
Ecsenius stictus,Blenniidae
Entomacrodus marmoratus,Blenniidae
Entomacrodus sealei,Blenniidae
Entomacrodus stellifer,Blenniidae
Entomacrodus striatus,Blenniidae
Entomacrodus thalassinus,Blenniidae
Entomacrodus vermiculatus,Blenniidae
Exallias brevis,Blenniidae
Glyptoparus delicatulus,Blenniidae
Hypsoblennius hentz,Blenniidae
Istiblennius lineatus,Blenniidae
Istiblennius zebra,Blenniidae
Lipophrys pholis,Blenniidae
Meiacanthus atrodorsalis,Blenniidae
Meiacanthus kamoharai,Blenniidae
Meiacanthus oualanensis,Blenniidae
Omobranchus banditus,Blenniidae
Omobranchus elongatus,Blenniidae
Omobranchus fasciolatoceps,Blenniidae
Omobranchus germaini,Blenniidae
Omobranchus loxozonus,Blenniidae
Omobranchus obliquus,Blenniidae
Parablennius pilicornis,Blenniidae
Parablennius ruber,Blenniidae
Parablennius yatabei,Blenniidae
Petroscirtes breviceps,Blenniidae
Petroscirtes mitratus,Blenniidae
Plagiotremus rhinorhynchos,Blenniidae
Plagiotremus tapeinosoma,Blenniidae
Praealticus labrovittatus,Blenniidae
Praealticus margaritarius,Blenniidae
Praealticus poptae,Blenniidae
Praealticus striatus,Blenniidae
Praealticus tanegasimae,Blenniidae
Rhabdoblennius nitidus,Blenniidae
Rhabdoblennius snowi,Blenniidae
Salaria pavo,Blenniidae
Salarias alboguttatus,Blenniidae
Salarias fasciatus,Blenniidae
Salarias luctuosus,Blenniidae
Salarias ramosus,Blenniidae
Salarias sinuosus,Blenniidae
Xiphasia setifer,Blenniidae
Bregmaceros lanceolatus,Bregmacerotidae
Callionymus sagitta,Callionymidae
Alepes djedaba,Carangidae
Caranx sexfasciatus,Carangidae
Naucrates ductor,Carangidae
Scomberoides lysan,Carangidae
Trachinotus blochii,Carangidae
Carpiodes carpio,Catostomidae
Carpiodes cyprinus,Catostomidae
Carpiodes velifer,Catostomidae
Catostomus catostomus,Catostomidae
Catostomus clarkii,Catostomidae
Catostomus commersonii,Catostomidae
Erimyzon oblongus,Catostomidae
Erimyzon oblongus,Catostomidae
Erimyzon sucetta,Catostomidae
Erimyzon tenuis,Catostomidae
Hypentelium etowanum,Catostomidae
Hypentelium nigricans,Catostomidae
Ictiobus bubalus,Catostomidae
Ictiobus cyprinellus,Catostomidae
Ictiobus niger,Catostomidae
Minytrema melanops,Catostomidae
Moxostoma anisurum,Catostomidae
Moxostoma breviceps,Catostomidae
Moxostoma carinatum,Catostomidae
Moxostoma duquesnii,Catostomidae
Moxostoma erythrurum,Catostomidae
Moxostoma macrolepidotum,Catostomidae
Moxostoma valenciennesi,Catostomidae
Ambloplites cavifrons,Centrarchidae
Ambloplites constellatus,Centrarchidae
Centrarchus macropterus,Centrarchidae
Enneacanthus chaetodon,Centrarchidae
Enneacanthus gloriosus,Centrarchidae
Enneacanthus obesus,Centrarchidae
Lepomis auritus,Centrarchidae
Lepomis cyanellus,Centrarchidae
Lepomis gibbosus,Centrarchidae
Lepomis gulosus,Centrarchidae
Lepomis humilis,Centrarchidae
Lepomis macrochirus,Centrarchidae
Lepomis marginatus,Centrarchidae
Lepomis megalotis,Centrarchidae
Lepomis microlophus,Centrarchidae
Lepomis miniatus,Centrarchidae
Lepomis punctatus,Centrarchidae
Lepomis symmetricus,Centrarchidae
Micropterus cataractae,Centrarchidae
Micropterus coosae,Centrarchidae
Micropterus dolomieu,Centrarchidae
Micropterus notius,Centrarchidae
Micropterus punctulatus,Centrarchidae
Micropterus salmoides,Centrarchidae
Micropterus treculii,Centrarchidae
Pomoxis annularis,Centrarchidae
Pomoxis nigromaculatus,Centrarchidae
Heniochus acuminatus,Chaetodontidae
Champsodon snyderi,Champsodontidae
Triportheus albus,Characidae
Hydrolagus mitsukurii,Chimaeridae
Chirocentrus dorab,Chirocentridae
Chlorophthalmus albatrossis,Chlorophthalmidae
Chlorophthalmus nigromarginatus,Chlorophthalmidae
Alosa aestivalis,Clupeidae
Alosa alabamae,Clupeidae
Alosa chrysochloris,Clupeidae
Alosa mediocris,Clupeidae
Alosa pseudoharengus,Clupeidae
Alosa sapidissima,Clupeidae
Anodontostoma chacunda,Clupeidae
Clupeichthys aesarnensis,Clupeidae
Clupeoides borneensis,Clupeidae
Clupeonella cultriventris,Clupeidae
Corica laciniata,Clupeidae
Misgurnus anguillicaudatus,Cobitidae
Misgurnus mizolepis,Cobitidae
Misgurnus nikolskyi,Cobitidae
Cottus aleuticus,Cottidae
Cottus asper,Cottidae
Cottus asperrimus,Cottidae
Cottus baileyi,Cottidae
Cottus bairdii,Cottidae
Cottus beldingii,Cottidae
Cottus carolinae,Cottidae
Cottus cognatus,Cottidae
Cottus confusus,Cottidae
Cottus echinatus,Cottidae
Cottus girardi,Cottidae
Cottus greenei,Cottidae
Cottus gulosus,Cottidae
Cottus hubbsi,Cottidae
Cottus hypselurus,Cottidae
Cottus klamathensis,Cottidae
Cottus perplexus,Cottidae
Cottus pitensis,Cottidae
Cottus princeps,Cottidae
Cottus rhotheus,Cottidae
Cottus ricei,Cottidae
Myoxocephalus thompsonii,Cottidae
Paracottus knerii,Cottidae
Paraplagusia bilineata,Cynoglossidae
Aztecula sallaei,Cyprinidae
Campostoma anomalum,Cyprinidae
Campostoma anomalum,Cyprinidae
Carassius auratus,Cyprinidae
Carassius carassius,Cyprinidae
Clinostomus elongatus,Cyprinidae
Clinostomus funduloides,Cyprinidae
Codoma ornata,Cyprinidae
Ctenopharyngodon idella,Cyprinidae
Cyprinella analostana,Cyprinidae
Cyprinella caerulea,Cyprinidae
Cyprinella callisema,Cyprinidae
Cyprinella callistia,Cyprinidae
Cyprinella callitaenia,Cyprinidae
Cyprinella camura,Cyprinidae
Cyprinella chloristia,Cyprinidae
Cyprinella formosa,Cyprinidae
Cyprinella galactura,Cyprinidae
Cyprinella garmani,Cyprinidae
Cyprinella gibbsi,Cyprinidae
Cyprinella labrosa,Cyprinidae
Cyprinella lutrensis,Cyprinidae
Cyprinella nivea,Cyprinidae
Cyprinella panarcys,Cyprinidae
Cyprinella proserpina,Cyprinidae
Cyprinella pyrrhomelas,Cyprinidae
Cyprinella rutila,Cyprinidae
Cyprinella spiloptera,Cyprinidae
Cyprinella trichroistia,Cyprinidae
Cyprinella venusta,Cyprinidae
Cyprinella whipplei,Cyprinidae
Cyprinella xanthicara,Cyprinidae
Cyprinus carpio,Cyprinidae
Erimonax monachus,Cyprinidae
Exoglossum maxillingua,Cyprinidae
Gila atraria,Cyprinidae
Gila bicolor,Cyprinidae
Gila nigrescens,Cyprinidae
Gila pandora,Cyprinidae
Gila pulchra,Cyprinidae
Hybognathus hankinsoni,Cyprinidae
Hybognathus hankinsoni,Cyprinidae
Hybognathus nuchalis,Cyprinidae
Hybognathus nuchalis,Cyprinidae
Hybopsis amblops,Cyprinidae
Hybopsis amblops,Cyprinidae
Hybopsis amnis,Cyprinidae
Hybopsis hypsinotus,Cyprinidae
Hypophthalmichthys molitrix,Cyprinidae
Luxilus albeolus,Cyprinidae
Luxilus cardinalis,Cyprinidae
